bareme,anciennete,echelle
40852.91,23,101/3
40852.91,24,101/3
41498.88,25,101/3
41498.88,26,101/3
42144.85,27,101/3
42144.85,28,101/3
42790.82,29,101/3
42790.82,30,101/3
43436.79,31,101/3
43436.79,32,101/3
44082.76,33,101/3
44082.76,34,101/3
44082.76,35,101/3
44082.76,36,101/3
44082.76,37,101/3
44082.76,38,101/3
44082.76,39,101/3
44082.76,40,101/3
44082.76,41,101/3
44082.76,42,101/3
44082.76,43,101/3
44082.76,44,101/3
44082.76,45,101/3
21336.28,0,102/1
21962.22,1,102/1
22588.16,2,102/1
24628.7,3,102/1
24628.7,4,102/1
25592.64,5,102/1
25592.64,6,102/1
26556.58,7,102/1
26556.58,8,102/1
29172.98,9,102/1
29172.98,10,102/1
30136.92,11,102/1
30136.92,12,102/1
31100.86,13,102/1
31100.86,14,102/1
32064.8,15,102/1
32064.8,16,102/1
33028.74,17,102/1
33028.74,18,102/1
33992.68,19,102/1
33992.68,20,102/1
34956.62,21,102/1
34956.62,22,102/1
35920.56,23,102/1
35920.56,24,102/1
36566.53,25,102/1
36566.53,26,102/1
37212.5,27,102/1
37212.5,28,102/1
37858.47,29,102/1
37858.47,30,102/1
38504.44,31,102/1
38504.44,32,102/1
39150.41,33,102/1
39150.41,34,102/1
39150.41,35,102/1
39150.41,36,102/1
39150.41,37,102/1
39150.41,38,102/1
39150.41,39,102/1
39150.41,40,102/1
39150.41,41,102/1
39150.41,42,102/1
39150.41,43,102/1
39150.41,44,102/1
39150.41,45,102/1
22976.23,0,102/2
23602.17,1,102/2
24228.11,2,102/2
26268.65,3,102/2
26268.65,4,102/2
27232.59,5,102/2
27232.59,6,102/2
28196.53,7,102/2
28196.53,8,102/2
30812.93,9,102/2
30812.93,10,102/2
31776.87,11,102/2
31776.87,12,102/2
32740.81,13,102/2
32740.81,14,102/2
33704.75,15,102/2
33704.75,16,102/2
34668.69,17,102/2
34668.69,18,102/2
35632.63,19,102/2
35632.63,20,102/2
36596.57,21,102/2
36596.57,22,102/2
37560.51,23,102/2
37560.51,24,102/2
38206.48,25,102/2
38206.48,26,102/2
38852.45,27,102/2
38852.45,28,102/2
39498.42,29,102/2
39498.42,30,102/2
40144.39,31,102/2
40144.39,32,102/2
40790.36,33,102/2
40790.36,34,102/2
40790.36,35,102/2
40790.36,36,102/2
40790.36,37,102/2
40790.36,38,102/2
40790.36,39,102/2
40790.36,40,102/2
40790.36,41,102/2
40790.36,42,102/2
40790.36,43,102/2
40790.36,44,102/2
40790.36,45,102/2
26268.63,0,102/3
26894.57,1,102/3
27520.51,2,102/3
29561.05,3,102/3
29561.05,4,102/3
30524.99,5,102/3
30524.99,6,102/3
31488.93,7,102/3
31488.93,8,102/3
34105.33,9,102/3
34105.33,10,102/3
35069.27,11,102/3
35069.27,12,102/3
36033.21,13,102/3
36033.21,14,102/3
36997.15,15,102/3
36997.15,16,102/3
37961.09,17,102/3
37961.09,18,102/3
38925.03,19,102/3
38925.03,20,102/3
39888.97,21,102/3
39888.97,22,102/3
40852.91,23,102/3
40852.91,24,102/3
41498.88,25,102/3
41498.88,26,102/3
42144.85,27,102/3
42144.85,28,102/3
42790.82,29,102/3
42790.82,30,102/3
43436.79,31,102/3
43436.79,32,102/3
44082.76,33,102/3
44082.76,34,102/3
44082.76,35,102/3
44082.76,36,102/3
44082.76,37,102/3
44082.76,38,102/3
44082.76,39,102/3
44082.76,40,102/3
44082.76,41,102/3
44082.76,42,102/3
44082.76,43,102/3
44082.76,44,102/3
44082.76,45,102/3
26043.28,0,110/1
26669.22,1,110/1
27295.16,2,110/1
27921.1,3,110/1
27921.1,4,110/1
28885.04,5,110/1
28885.04,6,110/1
29848.98,7,110/1
29848.98,8,110/1
30812.92,9,110/1
30812.92,10,110/1
31776.86,11,110/1
31776.86,12,110/1
32740.8,13,110/1
32740.8,14,110/1
33704.74,15,110/1
33704.74,16,110/1
34668.68,17,110/1
34668.68,18,110/1
35632.62,19,110/1
35632.62,20,110/1
36596.56,21,110/1
36596.56,22,110/1
37560.5,23,110/1
37560.5,24,110/1
37560.5,25,110/1
37560.5,26,110/1
37560.5,27,110/1
37560.5,28,110/1
37858.47,29,110/1
37858.47,30,110/1
38504.44,31,110/1
38504.44,32,110/1
39150.41,33,110/1
39150.41,34,110/1
39150.41,35,110/1
39150.41,36,110/1
39150.41,37,110/1
39150.41,38,110/1
39150.41,39,110/1
39150.41,40,110/1
39150.41,41,110/1
39150.41,42,110/1
39150.41,43,110/1
39150.41,44,110/1
39150.41,45,110/1
27683.23,0,110/2
28309.17,1,110/2
28935.11,2,110/2
29561.05,3,110/2
29561.05,4,110/2
30524.99,5,110/2
30524.99,6,110/2
31488.93,7,110/2
31488.93,8,110/2
32452.87,9,110/2
32452.87,10,110/2
33416.81,11,110/2
33416.81,12,110/2
34380.75,13,110/2
34380.75,14,110/2
35344.69,15,110/2
35344.69,16,110/2
36308.63,17,110/2
36308.63,18,110/2
37272.57,19,110/2
37272.57,20,110/2
38236.51,21,110/2
38236.51,22,110/2
39200.45,23,110/2
39200.45,24,110/2
39200.45,25,110/2
39200.45,26,110/2
39200.45,27,110/2
39200.45,28,110/2
39498.42,29,110/2
39498.42,30,110/2
40144.39,31,110/2
40144.39,32,110/2
40790.36,33,110/2
40790.36,34,110/2
40790.36,35,110/2
40790.36,36,110/2
40790.36,37,110/2
40790.36,38,110/2
40790.36,39,110/2
40790.36,40,110/2
40790.36,41,110/2
40790.36,42,110/2
40790.36,43,110/2
40790.36,44,110/2
40790.36,45,110/2
30975.63,0,110/3
31601.57,1,110/3
32227.51,2,110/3
32853.45,3,110/3
32853.45,4,110/3
33817.39,5,110/3
33817.39,6,110/3
34781.33,7,110/3
34781.33,8,110/3
35745.27,9,110/3
35745.27,10,110/3
36709.21,11,110/3
36709.21,12,110/3
37673.15,13,110/3
37673.15,14,110/3
38637.09,15,110/3
38637.09,16,110/3
39601.03,17,110/3
39601.03,18,110/3
40564.97,19,110/3
40564.97,20,110/3
41528.91,21,110/3
41528.91,22,110/3
42492.85,23,110/3
42492.85,24,110/3
42492.85,25,110/3
42492.85,26,110/3
42492.85,27,110/3
42492.85,28,110/3
42790.82,29,110/3
42790.82,30,110/3
43436.79,31,110/3
43436.79,32,110/3
44082.76,33,110/3
44082.76,34,110/3
44082.76,35,110/3
44082.76,36,110/3
44082.76,37,110/3
44082.76,38,110/3
44082.76,39,110/3
44082.76,40,110/3
44082.76,41,110/3
44082.76,42,110/3
44082.76,43,110/3
44082.76,44,110/3
44082.76,45,110/3
29047.75,0,120/1
29047.75,1,120/1
30387.25,2,120/1
30387.25,3,120/1
31726.75,4,120/1
31726.75,5,120/1
33066.25,6,120/1
33066.25,7,120/1
34405.75,8,120/1
34405.75,9,120/1
35745.25,10,120/1
35745.25,11,120/1
37084.75,12,120/1
37084.75,13,120/1
38424.25,14,120/1
38424.25,15,120/1
39763.75,16,120/1
39763.75,17,120/1
41103.25,18,120/1
41103.25,19,120/1
42442.75,20,120/1
42442.75,21,120/1
43782.25,22,120/1
43782.25,23,120/1
44452.0,24,120/1
44452.0,25,120/1
45121.75,26,120/1
45121.75,27,120/1
45791.5,28,120/1
45791.5,29,120/1
46461.25,30,120/1
46461.25,31,120/1
47131.0,32,120/1
47131.0,33,120/1
47131.0,34,120/1
47131.0,35,120/1
47131.0,36,120/1
47131.0,37,120/1
47131.0,38,120/1
47131.0,39,120/1
47131.0,40,120/1
47131.0,41,120/1
47131.0,42,120/1
47131.0,43,120/1
47131.0,44,120/1
47131.0,45,120/1
30712.72,0,120/2
30712.72,1,120/2
32052.22,2,120/2
32052.22,3,120/2
33391.72,4,120/2
33391.72,5,120/2
34731.22,6,120/2
34731.22,7,120/2
36070.72,8,120/2
36070.72,9,120/2
37410.22,10,120/2
37410.22,11,120/2
38749.72,12,120/2
38749.72,13,120/2
40089.22,14,120/2
40089.22,15,120/2
41428.72,16,120/2
41428.72,17,120/2
42768.22,18,120/2
42768.22,19,120/2
44107.72,20,120/2
44107.72,21,120/2
45447.22,22,120/2
45447.22,23,120/2
46116.97,24,120/2
46116.97,25,120/2
46786.72,26,120/2
46786.72,27,120/2
47456.47,28,120/2
47456.47,29,120/2
48126.22,30,120/2
48126.22,31,120/2
48795.97,32,120/2
48795.97,33,120/2
48795.97,34,120/2
48795.97,35,120/2
48795.97,36,120/2
48795.97,37,120/2
48795.97,38,120/2
48795.97,39,120/2
48795.97,40,120/2
48795.97,41,120/2
48795.97,42,120/2
48795.97,43,120/2
48795.97,44,120/2
48795.97,45,120/2
36884.41,0,120/3
36884.41,1,120/3
38223.91,2,120/3
38223.91,3,120/3
39563.41,4,120/3
39563.41,5,120/3
40902.91,6,120/3
40902.91,7,120/3
42242.41,8,120/3
42242.41,9,120/3
43581.91,10,120/3
43581.91,11,120/3
44921.41,12,120/3
44921.41,13,120/3
46260.91,14,120/3
46260.91,15,120/3
47600.41,16,120/3
47600.41,17,120/3
48939.91,18,120/3
48939.91,19,120/3
50279.41,20,120/3
50279.41,21,120/3
51618.91,22,120/3
51618.91,23,120/3
52288.66,24,120/3
52288.66,25,120/3
52958.41,26,120/3
52958.41,27,120/3
53628.16,28,120/3
53628.16,29,120/3
54297.91,30,120/3
54297.91,31,120/3
54967.66,32,120/3
54967.66,33,120/3
54967.66,34,120/3
54967.66,35,120/3
54967.66,36,120/3
54967.66,37,120/3
54967.66,38,120/3
54967.66,39,120/3
54967.66,40,120/3
54967.66,41,120/3
54967.66,42,120/3
54967.66,43,120/3
54967.66,44,120/3
54967.66,45,120/3
38136.27,0,120/4
38136.27,1,120/4
39475.77,2,120/4
39475.77,3,120/4
40815.27,4,120/4
40815.27,5,120/4
42154.77,6,120/4
42154.77,7,120/4
43494.27,8,120/4
43494.27,9,120/4
44833.77,10,120/4
44833.77,11,120/4
46173.27,12,120/4
46173.27,13,120/4
47512.77,14,120/4
47512.77,15,120/4
48852.27,16,120/4
48852.27,17,120/4
50191.77,18,120/4
50191.77,19,120/4
51531.27,20,120/4
51531.27,21,120/4
52870.77,22,120/4
52870.77,23,120/4
53540.52,24,120/4
53540.52,25,120/4
54210.27,26,120/4
54210.27,27,120/4
54880.02,28,120/4
54880.02,29,120/4
55549.77,30,120/4
55549.77,31,120/4
56219.52,32,120/4
56219.52,33,120/4
56219.52,34,120/4
56219.52,35,120/4
56219.52,36,120/4
56219.52,37,120/4
56219.52,38,120/4
56219.52,39,120/4
56219.52,40,120/4
56219.52,41,120/4
56219.52,42,120/4
56219.52,43,120/4
56219.52,44,120/4
56219.52,45,120/4
39863.84,0,150/1
39863.84,1,150/1
41203.34,2,150/1
41203.34,3,150/1
42542.84,4,150/1
42542.84,5,150/1
43882.34,6,150/1
43882.34,7,150/1
45221.84,8,150/1
45221.84,9,150/1
46561.34,10,150/1
46561.34,11,150/1
47900.84,12,150/1
47900.84,13,150/1
49240.34,14,150/1
49240.34,15,150/1
50579.84,16,150/1
50579.84,17,150/1
51919.34,18,150/1
51919.34,19,150/1
53258.84,20,150/1
53258.84,21,150/1
54598.34,22,150/1
54598.34,23,150/1
54598.34,24,150/1
54598.34,25,150/1
54598.34,26,150/1
54598.34,27,150/1
54598.34,28,150/1
54598.34,29,150/1
54598.34,30,150/1
54598.34,31,150/1
54598.34,32,150/1
