bareme,anciennete,echelle
27232.59,25,220/1
27232.59,26,220/1
27871.04,27,220/1
27871.04,28,220/1
28509.49,29,220/1
28509.49,30,220/1
29147.94,31,220/1
29147.94,32,220/1
29467.17,33,220/1
29467.17,34,220/1
29786.4,35,220/1
29786.4,36,220/1
30105.63,37,220/1
30105.63,38,220/1
30424.86,39,220/1
30424.86,40,220/1
30744.09,41,220/1
30744.09,42,220/1
30744.09,43,220/1
30744.09,44,220/1
30744.09,45,220/1
20209.61,0,220/2
20485.03,1,220/2
20760.45,2,220/2
21035.87,3,220/2
21035.87,4,220/2
21674.32,5,220/2
21674.32,6,220/2
22312.77,7,220/2
22312.77,8,220/2
22951.22,9,220/2
22951.22,10,220/2
23589.67,11,220/2
23589.67,12,220/2
24228.12,13,220/2
24228.12,14,220/2
24866.57,15,220/2
24866.57,16,220/2
25505.02,17,220/2
25505.02,18,220/2
26143.47,19,220/2
26143.47,20,220/2
26781.92,21,220/2
26781.92,22,220/2
27420.37,23,220/2
27420.37,24,220/2
28058.82,25,220/2
28058.82,26,220/2
28697.27,27,220/2
28697.27,28,220/2
29335.72,29,220/2
29335.72,30,220/2
29974.17,31,220/2
29974.17,32,220/2
30293.4,33,220/2
30293.4,34,220/2
30612.63,35,220/2
30612.63,36,220/2
30931.86,37,220/2
30931.86,38,220/2
31251.09,39,220/2
31251.09,40,220/2
31570.32,41,220/2
31570.32,42,220/2
31570.32,43,220/2
31570.32,44,220/2
31570.32,45,220/2
15747.04,0,250/1
16022.46,1,250/1
16297.88,2,250/1
17174.2,3,250/1
17174.2,4,250/1
17737.55,5,250/1
17737.55,6,250/1
18300.9,7,250/1
18300.9,8,250/1
19477.66,9,250/1
19477.66,10,250/1
20041.01,11,250/1
20041.01,12,250/1
20604.36,13,250/1
20604.36,14,250/1
21167.71,15,250/1
21167.71,16,250/1
21731.06,17,250/1
21731.06,18,250/1
22294.41,19,250/1
22294.41,20,250/1
22857.76,21,250/1
22857.76,22,250/1
23421.11,23,250/1
23421.11,24,250/1
23984.46,25,250/1
23984.46,26,250/1
24547.81,27,250/1
24547.81,28,250/1
25111.16,29,250/1
25111.16,30,250/1
25454.18,31,250/1
25454.18,32,250/1
25797.2,33,250/1
25797.2,34,250/1
26140.22,35,250/1
26140.22,36,250/1
26483.24,37,250/1
26483.24,38,250/1
26826.26,39,250/1
26826.26,40,250/1
26826.26,41,250/1
26826.26,42,250/1
26826.26,43,250/1
26826.26,44,250/1
26826.26,45,250/1
16378.9,0,250/2
16654.32,1,250/2
16929.74,2,250/2
17806.06,3,250/2
17806.06,4,250/2
18369.41,5,250/2
18369.41,6,250/2
18932.76,7,250/2
18932.76,8,250/2
20109.52,9,250/2
20109.52,10,250/2
20672.87,11,250/2
20672.87,12,250/2
21236.22,13,250/2
21236.22,14,250/2
21799.57,15,250/2
21799.57,16,250/2
22362.92,17,250/2
22362.92,18,250/2
22926.27,19,250/2
22926.27,20,250/2
23489.62,21,250/2
23489.62,22,250/2
24052.97,23,250/2
24052.97,24,250/2
24616.32,25,250/2
24616.32,26,250/2
25179.67,27,250/2
25179.67,28,250/2
25743.02,29,250/2
25743.02,30,250/2
26086.04,31,250/2
26086.04,32,250/2
26429.06,33,250/2
26429.06,34,250/2
26772.08,35,250/2
26772.08,36,250/2
27115.1,37,250/2
27115.1,38,250/2
27458.12,39,250/2
27458.12,40,250/2
27458.12,41,250/2
27458.12,42,250/2
27458.12,43,250/2
27458.12,44,250/2
27458.12,45,250/2
18131.52,0,250/2s
18406.94,1,250/2s
18682.36,2,250/2s
19558.68,3,250/2s
19558.68,4,250/2s
20122.03,5,250/2s
20122.03,6,250/2s
20685.38,7,250/2s
20685.38,8,250/2s
21862.14,9,250/2s
21862.14,10,250/2s
22425.49,11,250/2s
22425.49,12,250/2s
22988.84,13,250/2s
22988.84,14,250/2s
23552.19,15,250/2s
23552.19,16,250/2s
24115.54,17,250/2s
24115.54,18,250/2s
24678.89,19,250/2s
24678.89,20,250/2s
25242.24,21,250/2s
25242.24,22,250/2s
25805.59,23,250/2s
25805.59,24,250/2s
26368.94,25,250/2s
26368.94,26,250/2s
26932.29,27,250/2s
26932.29,28,250/2s
27495.64,29,250/2s
27495.64,30,250/2s
27838.66,31,250/2s
27838.66,32,250/2s
28181.68,33,250/2s
28181.68,34,250/2s
28524.7,35,250/2s
28524.7,36,250/2s
28867.72,37,250/2s
28867.72,38,250/2s
29210.74,39,250/2s
29210.74,40,250/2s
29210.74,41,250/2s
29210.74,42,250/2s
29210.74,43,250/2s
29210.74,44,250/2s
29210.74,45,250/2s
18131.52,0,250/3
18406.94,1,250/3
18682.36,2,250/3
19558.68,3,250/3
19558.68,4,250/3
20122.03,5,250/3
20122.03,6,250/3
20685.38,7,250/3
20685.38,8,250/3
21862.14,9,250/3
21862.14,10,250/3
22425.49,11,250/3
22425.49,12,250/3
22988.84,13,250/3
22988.84,14,250/3
23552.19,15,250/3
23552.19,16,250/3
24115.54,17,250/3
24115.54,18,250/3
24678.89,19,250/3
24678.89,20,250/3
25242.24,21,250/3
25242.24,22,250/3
25805.59,23,250/3
25805.59,24,250/3
26368.94,25,250/3
26368.94,26,250/3
26932.29,27,250/3
26932.29,28,250/3
27495.64,29,250/3
27495.64,30,250/3
27838.66,31,250/3
27838.66,32,250/3
28181.68,33,250/3
28181.68,34,250/3
28524.7,35,250/3
28524.7,36,250/3
28867.72,37,250/3
28867.72,38,250/3
29210.74,39,250/3
29210.74,40,250/3
29210.74,41,250/3
29210.74,42,250/3
29210.74,43,250/3
29210.74,44,250/3
29210.74,45,250/3
15747.04,0,251/1
16022.46,1,251/1
16297.88,2,251/1
17174.2,3,251/1
17174.2,4,251/1
17737.55,5,251/1
17737.55,6,251/1
18300.9,7,251/1
18300.9,8,251/1
19477.66,9,251/1
19477.66,10,251/1
20041.01,11,251/1
20041.01,12,251/1
20604.36,13,251/1
20604.36,14,251/1
21167.71,15,251/1
21167.71,16,251/1
21731.06,17,251/1
21731.06,18,251/1
22294.41,19,251/1
22294.41,20,251/1
22857.76,21,251/1
22857.76,22,251/1
23421.11,23,251/1
23421.11,24,251/1
23984.46,25,251/1
23984.46,26,251/1
24547.81,27,251/1
24547.81,28,251/1
25111.16,29,251/1
25111.16,30,251/1
25454.18,31,251/1
25454.18,32,251/1
25797.2,33,251/1
25797.2,34,251/1
26140.22,35,251/1
26140.22,36,251/1
26483.24,37,251/1
26483.24,38,251/1
26826.26,39,251/1
26826.26,40,251/1
26826.26,41,251/1
26826.26,42,251/1
26826.26,43,251/1
26826.26,44,251/1
26826.26,45,251/1
16378.9,0,251/2
16654.32,1,251/2
16929.74,2,251/2
17806.06,3,251/2
17806.06,4,251/2
18369.41,5,251/2
18369.41,6,251/2
18932.76,7,251/2
18932.76,8,251/2
20109.52,9,251/2
20109.52,10,251/2
20672.87,11,251/2
20672.87,12,251/2
21236.22,13,251/2
21236.22,14,251/2
21799.57,15,251/2
21799.57,16,251/2
22362.92,17,251/2
22362.92,18,251/2
22926.27,19,251/2
22926.27,20,251/2
23489.62,21,251/2
23489.62,22,251/2
24052.97,23,251/2
24052.97,24,251/2
24616.32,25,251/2
24616.32,26,251/2
25179.67,27,251/2
25179.67,28,251/2
25743.02,29,251/2
25743.02,30,251/2
26086.04,31,251/2
26086.04,32,251/2
26429.06,33,251/2
26429.06,34,251/2
26772.08,35,251/2
26772.08,36,251/2
27115.1,37,251/2
27115.1,38,251/2
27458.12,39,251/2
27458.12,40,251/2
27458.12,41,251/2
27458.12,42,251/2
27458.12,43,251/2
27458.12,44,251/2
27458.12,45,251/2
18131.52,0,251/2s
18406.94,1,251/2s
18682.36,2,251/2s
19558.68,3,251/2s
19558.68,4,251/2s
20122.03,5,251/2s
20122.03,6,251/2s
20685.38,7,251/2s
20685.38,8,251/2s
21862.14,9,251/2s
21862.14,10,251/2s
22425.49,11,251/2s
22425.49,12,251/2s
22988.84,13,251/2s
22988.84,14,251/2s
23552.19,15,251/2s
23552.19,16,251/2s
24115.54,17,251/2s
24115.54,18,251/2s
24678.89,19,251/2s
24678.89,20,251/2s
25242.24,21,251/2s
25242.24,22,251/2s
25805.59,23,251/2s
25805.59,24,251/2s
26368.94,25,251/2s
26368.94,26,251/2s
26932.29,27,251/2s
26932.29,28,251/2s
27495.64,29,251/2s
27495.64,30,251/2s
27838.66,31,251/2s
27838.66,32,251/2s
28181.68,33,251/2s
28181.68,34,251/2s
28524.7,35,251/2s
28524.7,36,251/2s
28867.72,37,251/2s
28867.72,38,251/2s
29210.74,39,251/2s
29210.74,40,251/2s
29210.74,41,251/2s
29210.74,42,251/2s
29210.74,43,251/2s
29210.74,44,251/2s
29210.74,45,251/2s
18131.52,0,251/3
18406.94,1,251/3
18682.36,2,251/3
19558.68,3,251/3
19558.68,4,251/3
20122.03,5,251/3
20122.03,6,251/3
20685.38,7,251/3
20685.38,8,251/3
21862.14,9,251/3
21862.14,10,251/3
22425.49,11,251/3
22425.49,12,251/3
22988.84,13,251/3
22988.84,14,251/3
23552.19,15,251/3
23552.19,16,251/3
24115.54,17,251/3
24115.54,18,251/3
24678.89,19,251/3
24678.89,20,251/3
25242.24,21,251/3
25242.24,22,251/3
25805.59,23,251/3
25805.59,24,251/3
26368.94,25,251/3
26368.94,26,251/3
26932.29,27,251/3
26932.29,28,251/3
27495.64,29,251/3
27495.64,30,251/3
27838.66,31,251/3
27838.66,32,251/3
28181.68,33,251/3
28181.68,34,251/3
28524.7,35,251/3
28524.7,36,251/3
28867.72,37,251/3
28867.72,38,251/3
29210.74,39,251/3
29210.74,40,251/3
29210.74,41,251/3
29210.74,42,251/3
29210.74,43,251/3
29210.74,44,251/3
29210.74,45,251/3
15747.04,0,252/1
16022.46,1,252/1
16297.88,2,252/1
17174.2,3,252/1
17174.2,4,252/1
17737.55,5,252/1
17737.55,6,252/1
18300.9,7,252/1
18300.9,8,252/1
19477.66,9,252/1
19477.66,10,252/1
20041.01,11,252/1
20041.01,12,252/1
20604.36,13,252/1
20604.36,14,252/1
21167.71,15,252/1
21167.71,16,252/1
21731.06,17,252/1
21731.06,18,252/1
22294.41,19,252/1
22294.41,20,252/1
22857.76,21,252/1
22857.76,22,252/1
23421.11,23,252/1
23421.11,24,252/1
23984.46,25,252/1
23984.46,26,252/1
24547.81,27,252/1
24547.81,28,252/1
25111.16,29,252/1
25111.16,30,252/1
25454.18,31,252/1
25454.18,32,252/1
25797.2,33,252/1
25797.2,34,252/1
26140.22,35,252/1
26140.22,36,252/1
26483.24,37,252/1
26483.24,38,252/1
26826.26,39,252/1
26826.26,40,252/1
26826.26,41,252/1
26826.26,42,252/1
26826.26,43,252/1
26826.26,44,252/1
26826.26,45,252/1
16378.9,0,252/2
16654.32,1,252/2
16929.74,2,252/2
17806.06,3,252/2
17806.06,4,252/2
18369.41,5,252/2
18369.41,6,252/2
18932.76,7,252/2
18932.76,8,252/2
20109.52,9,252/2
20109.52,10,252/2
20672.87,11,252/2
20672.87,12,252/2
21236.22,13,252/2
21236.22,14,252/2
21799.57,15,252/2
21799.57,16,252/2
22362.92,17,252/2
22362.92,18,252/2
22926.27,19,252/2
22926.27,20,252/2
23489.62,21,252/2
23489.62,22,252/2
24052.97,23,252/2
24052.97,24,252/2
24616.32,25,252/2
24616.32,26,252/2
25179.67,27,252/2
25179.67,28,252/2
25743.02,29,252/2
25743.02,30,252/2
26086.04,31,252/2
26086.04,32,252/2
26429.06,33,252/2
26429.06,34,252/2
26772.08,35,252/2
26772.08,36,252/2
27115.1,37,252/2
27115.1,38,252/2
27458.12,39,252/2
27458.12,40,252/2
27458.12,41,252/2
27458.12,42,252/2
27458.12,43,252/2
27458.12,44,252/2
27458.12,45,252/2
18131.52,0,252/2s
18406.94,1,252/2s
18682.36,2,252/2s
19558.68,3,252/2s
19558.68,4,252/2s
20122.03,5,252/2s
20122.03,6,252/2s
20685.38,7,252/2s
20685.38,8,252/2s
21862.14,9,252/2s
21862.14,10,252/2s
22425.49,11,252/2s
22425.49,12,252/2s
22988.84,13,252/2s
22988.84,14,252/2s
23552.19,15,252/2s
23552.19,16,252/2s
24115.54,17,252/2s
24115.54,18,252/2s
24678.89,19,252/2s
24678.89,20,252/2s
25242.24,21,252/2s
25242.24,22,252/2s
25805.59,23,252/2s
25805.59,24,252/2s
26368.94,25,252/2s
26368.94,26,252/2s
26932.29,27,252/2s
26932.29,28,252/2s
27495.64,29,252/2s
27495.64,30,252/2s
27838.66,31,252/2s
27838.66,32,252/2s
28181.68,33,252/2s
28181.68,34,252/2s
28524.7,35,252/2s
28524.7,36,252/2s
28867.72,37,252/2s
28867.72,38,252/2s
29210.74,39,252/2s
29210.74,40,252/2s
29210.74,41,252/2s
29210.74,42,252/2s
29210.74,43,252/2s
29210.74,44,252/2s
29210.74,45,252/2s
18131.52,0,252/3
18406.94,1,252/3
18682.36,2,252/3
19558.68,3,252/3
19558.68,4,252/3
20122.03,5,252/3
20122.03,6,252/3
20685.38,7,252/3
20685.38,8,252/3
21862.14,9,252/3
21862.14,10,252/3
22425.49,11,252/3
22425.49,12,252/3
22988.84,13,252/3
22988.84,14,252/3
23552.19,15,252/3
23552.19,16,252/3
24115.54,17,252/3
24115.54,18,252/3
24678.89,19,252/3
24678.89,20,252/3
25242.24,21,252/3
25242.24,22,252/3
25805.59,23,252/3
25805.59,24,252/3
26368.94,25,252/3
26368.94,26,252/3
26932.29,27,252/3
26932.29,28,252/3
27495.64,29,252/3
27495.64,30,252/3
27838.66,31,252/3
27838.66,32,252/3
28181.68,33,252/3
28181.68,34,252/3
28524.7,35,252/3
28524.7,36,252/3
28867.72,37,252/3
28867.72,38,252/3
29210.74,39,252/3
29210.74,40,252/3
29210.74,41,252/3
29210.74,42,252/3
29210.74,43,252/3
29210.74,44,252/3
29210.74,45,252/3
17574.77,0,260/1
17850.19,1,260/1
18125.61,2,260/1
18401.03,3,260/1
18401.03,4,260/1
18964.38,5,260/1
18964.38,6,260/1
19527.73,7,260/1
19527.73,8,260/1
20091.08,9,260/1
20091.08,10,260/1
20654.43,11,260/1
20654.43,12,260/1
21217.78,13,260/1
21217.78,14,260/1
21781.13,15,260/1
21781.13,16,260/1
22344.48,17,260/1
22344.48,18,260/1
22907.83,19,260/1
22907.83,20,260/1
23471.18,21,260/1
23471.18,22,260/1
24034.53,23,260/1
24034.53,24,260/1
24597.88,25,260/1
24597.88,26,260/1
25161.23,27,260/1
25161.23,28,260/1
25724.58,29,260/1
25724.58,30,260/1
25724.58,31,260/1
25724.58,32,260/1
25797.2,33,260/1
25797.2,34,260/1
26140.22,35,260/1
26140.22,36,260/1
26483.24,37,260/1
26483.24,38,260/1
26826.26,39,260/1
26826.26,40,260/1
26826.26,41,260/1
26826.26,42,260/1
26826.26,43,260/1
26826.26,44,260/1
26826.26,45,260/1
18206.63,0,260/2
18482.05,1,260/2
18757.47,2,260/2
19032.89,3,260/2
19032.89,4,260/2
19596.24,5,260/2
19596.24,6,260/2
20159.59,7,260/2
20159.59,8,260/2
20722.94,9,260/2
20722.94,10,260/2
21286.29,11,260/2
21286.29,12,260/2
21849.64,13,260/2
21849.64,14,260/2
22412.99,15,260/2
22412.99,16,260/2
22976.34,17,260/2
22976.34,18,260/2
23539.69,19,260/2
23539.69,20,260/2
24103.04,21,260/2
24103.04,22,260/2
24666.39,23,260/2
24666.39,24,260/2
25229.74,25,260/2
25229.74,26,260/2
25793.09,27,260/2
25793.09,28,260/2
26356.44,29,260/2
26356.44,30,260/2
26356.44,31,260/2
26356.44,32,260/2
26429.06,33,260/2
26429.06,34,260/2
26772.08,35,260/2
26772.08,36,260/2
27115.1,37,260/2
27115.1,38,260/2
27458.12,39,260/2
27458.12,40,260/2
27458.12,41,260/2
27458.12,42,260/2
27458.12,43,260/2
27458.12,44,260/2
27458.12,45,260/2
19959.25,0,260/2s
20234.67,1,260/2s
20510.09,2,260/2s
20785.51,3,260/2s
20785.51,4,260/2s
21348.86,5,260/2s
21348.86,6,260/2s
21912.21,7,260/2s
21912.21,8,260/2s
22475.56,9,260/2s
22475.56,10,260/2s
23038.91,11,260/2s
23038.91,12,260/2s
23602.26,13,260/2s
23602.26,14,260/2s
24165.61,15,260/2s
24165.61,16,260/2s
24728.96,17,260/2s
24728.96,18,260/2s
25292.31,19,260/2s
25292.31,20,260/2s
25855.66,21,260/2s
25855.66,22,260/2s
26419.01,23,260/2s
26419.01,24,260/2s
26982.36,25,260/2s
26982.36,26,260/2s
27545.71,27,260/2s
27545.71,28,260/2s
28109.06,29,260/2s
28109.06,30,260/2s
28109.06,31,260/2s
28109.06,32,260/2s
28181.68,33,260/2s
28181.68,34,260/2s
28524.7,35,260/2s
28524.7,36,260/2s
28867.72,37,260/2s
28867.72,38,260/2s
29210.74,39,260/2s
29210.74,40,260/2s
29210.74,41,260/2s
29210.74,42,260/2s
29210.74,43,260/2s
29210.74,44,260/2s
29210.74,45,260/2s
19959.25,0,260/3
20234.67,1,260/3
20510.09,2,260/3
20785.51,3,260/3
20785.51,4,260/3
21348.86,5,260/3
21348.86,6,260/3
21912.21,7,260/3
21912.21,8,260/3
22475.56,9,260/3
22475.56,10,260/3
23038.91,11,260/3
23038.91,12,260/3
23602.26,13,260/3
23602.26,14,260/3
24165.61,15,260/3
24165.61,16,260/3
24728.96,17,260/3
24728.96,18,260/3
25292.31,19,260/3
25292.31,20,260/3
25855.66,21,260/3
25855.66,22,260/3
26419.01,23,260/3
26419.01,24,260/3
26982.36,25,260/3
26982.36,26,260/3
27545.71,27,260/3
27545.71,28,260/3
28109.06,29,260/3
28109.06,30,260/3
28109.06,31,260/3
28109.06,32,260/3
28181.68,33,260/3
28181.68,34,260/3
28524.7,35,260/3
28524.7,36,260/3
28867.72,37,260/3
28867.72,38,260/3
29210.74,39,260/3
29210.74,40,260/3
29210.74,41,260/3
29210.74,42,260/3
29210.74,43,260/3
29210.74,44,260/3
29210.74,45,260/3
21686.81,0,270/1
21962.23,1,270/1
22237.65,2,270/1
22513.07,3,270/1
22513.07,4,270/1
23076.42,5,270/1
23076.42,6,270/1
23639.77,7,270/1
23639.77,8,270/1
24203.12,9,270/1
24203.12,10,270/1
24766.47,11,270/1
24766.47,12,270/1
25329.82,13,270/1
25329.82,14,270/1
25893.17,15,270/1
25893.17,16,270/1
26456.52,17,270/1
26456.52,18,270/1
27019.87,19,270/1
27019.87,20,270/1
27583.22,21,270/1
27583.22,22,270/1
28146.57,23,270/1
28146.57,24,270/1
28709.92,25,270/1
28709.92,26,270/1
29273.27,27,270/1
29273.27,28,270/1
29836.62,29,270/1
29836.62,30,270/1
30118.3,31,270/1
30118.3,32,270/1
30399.98,33,270/1
30399.98,34,270/1
30681.66,35,270/1
30681.66,36,270/1
30963.34,37,270/1
30963.34,38,270/1
31245.02,39,270/1
31245.02,40,270/1
31245.02,41,270/1
31245.02,42,270/1
31245.02,43,270/1
31245.02,44,270/1
31245.02,45,270/1
22938.67,0,270/2
23214.09,1,270/2
23489.51,2,270/2
23764.93,3,270/2
23764.93,4,270/2
24328.28,5,270/2
24328.28,6,270/2
24891.63,7,270/2
24891.63,8,270/2
25454.98,9,270/2
25454.98,10,270/2
26018.33,11,270/2
26018.33,12,270/2
26581.68,13,270/2
26581.68,14,270/2
27145.03,15,270/2
27145.03,16,270/2
27708.38,17,270/2
27708.38,18,270/2
28271.73,19,270/2
28271.73,20,270/2
28835.08,21,270/2
28835.08,22,270/2
29398.43,23,270/2
29398.43,24,270/2
29961.78,25,270/2
29961.78,26,270/2
30525.13,27,270/2
30525.13,28,270/2
31088.48,29,270/2
31088.48,30,270/2
31370.16,31,270/2
31370.16,32,270/2
31651.84,33,270/2
31651.84,34,270/2
31933.52,35,270/2
31933.52,36,270/2
32215.2,37,270/2
32215.2,38,270/2
32496.88,39,270/2
32496.88,40,270/2
32496.88,41,270/2
32496.88,42,270/2
32496.88,43,270/2
32496.88,44,270/2
32496.88,45,270/2
24691.28,0,270/3
24966.7,1,270/3
25242.12,2,270/3
25517.54,3,270/3
25517.54,4,270/3
26080.89,5,270/3
26080.89,6,270/3
26644.24,7,270/3
26644.24,8,270/3
27207.59,9,270/3
27207.59,10,270/3
27770.94,11,270/3
27770.94,12,270/3
28334.29,13,270/3
28334.29,14,270/3
28897.64,15,270/3
28897.64,16,270/3
29460.99,17,270/3
29460.99,18,270/3
30024.34,19,270/3
30024.34,20,270/3
30587.69,21,270/3
30587.69,22,270/3
31151.04,23,270/3
31151.04,24,270/3
31714.39,25,270/3
31714.39,26,270/3
32277.74,27,270/3
32277.74,28,270/3
32841.09,29,270/3
32841.09,30,270/3
33122.77,31,270/3
33122.77,32,270/3
33404.45,33,270/3
33404.45,34,270/3
33686.13,35,270/3
33686.13,36,270/3
33967.81,37,270/3
33967.81,38,270/3
34249.49,39,270/3
34249.49,40,270/3
34249.49,41,270/3
34249.49,42,270/3
34249.49,43,270/3
34249.49,44,270/3
34249.49,45,270/3
24691.28,0,271/2s
24966.7,1,271/2s
25242.12,2,271/2s
25517.54,3,271/2s
25517.54,4,271/2s
26080.89,5,271/2s
26080.89,6,271/2s
26644.24,7,271/2s
26644.24,8,271/2s
27207.59,9,271/2s
27207.59,10,271/2s
27770.94,11,271/2s
27770.94,12,271/2s
28334.29,13,271/2s
28334.29,14,271/2s
28897.64,15,271/2s
28897.64,16,271/2s
29460.99,17,271/2s
29460.99,18,271/2s
30024.34,19,271/2s
30024.34,20,271/2s
30587.69,21,271/2s
30587.69,22,271/2s
31151.04,23,271/2s
31151.04,24,271/2s
31714.39,25,271/2s
31714.39,26,271/2s
32277.74,27,271/2s
32277.74,28,271/2s
32841.09,29,271/2s
32841.09,30,271/2s
33122.77,31,271/2s
33122.77,32,271/2s
33404.45,33,271/2s
33404.45,34,271/2s
33686.13,35,271/2s
33686.13,36,271/2s
33967.81,37,271/2s
33967.81,38,271/2s
34249.49,39,271/2s
34249.49,40,271/2s
34249.49,41,271/2s
34249.49,42,271/2s
34249.49,43,271/2s
34249.49,44,271/2s
34249.49,45,271/2s
13750.0,0,300/1
13875.74,1,300/1
14001.48,2,300/1
14264.25,3,300/1
14264.25,4,300/1
14555.71,5,300/1
14555.71,6,300/1
14847.17,7,300/1
14847.17,8,300/1
15275.97,9,300/1
15275.97,10,300/1
15536.36,11,300/1
15536.36,12,300/1
15796.75,13,300/1
15796.75,14,300/1
16057.14,15,300/1
16057.14,16,300/1
16317.53,17,300/1
16317.53,18,300/1
16577.92,19,300/1
16577.92,20,300/1
16838.31,21,300/1
16838.31,22,300/1
17098.7,23,300/1
17098.7,24,300/1
17359.09,25,300/1
17359.09,26,300/1
17619.48,27,300/1
17619.48,28,300/1
17879.87,29,300/1
17879.87,30,300/1
18140.26,31,300/1
18140.26,32,300/1
18285.73,33,300/1
18285.73,34,300/1
18431.2,35,300/1
18431.2,36,300/1
18576.67,37,300/1
18576.67,38,300/1
18722.14,39,300/1
18722.14,40,300/1
18867.61,41,300/1
18867.61,42,300/1
18867.61,43,300/1
18867.61,44,300/1
18867.61,45,300/1
14175.63,0,300/2
14301.37,1,300/2
14427.11,2,300/2
14689.88,3,300/2
14689.88,4,300/2
14981.34,5,300/2
14981.34,6,300/2
15272.8,7,300/2
15272.8,8,300/2
15701.6,9,300/2
15701.6,10,300/2
15961.99,11,300/2
15961.99,12,300/2
16222.38,13,300/2
16222.38,14,300/2
16482.77,15,300/2
16482.77,16,300/2
16743.16,17,300/2
16743.16,18,300/2
17003.55,19,300/2
17003.55,20,300/2
17263.94,21,300/2
17263.94,22,300/2
17524.33,23,300/2
17524.33,24,300/2
17784.72,25,300/2
17784.72,26,300/2
18045.11,27,300/2
18045.11,28,300/2
18305.5,29,300/2
18305.5,30,300/2
18565.89,31,300/2
18565.89,32,300/2
18711.36,33,300/2
18711.36,34,300/2
18856.83,35,300/2
18856.83,36,300/2
19002.3,37,300/2
19002.3,38,300/2
19147.77,39,300/2
19147.77,40,300/2
19293.24,41,300/2
19293.24,42,300/2
19293.24,43,300/2
19293.24,44,300/2
19293.24,45,300/2
15252.24,0,300/3
15377.98,1,300/3
15503.72,2,300/3
15766.49,3,300/3
15766.49,4,300/3
16057.95,5,300/3
16057.95,6,300/3
16349.41,7,300/3
16349.41,8,300/3
16778.21,9,300/3
16778.21,10,300/3
17038.6,11,300/3
17038.6,12,300/3
17298.99,13,300/3
17298.99,14,300/3
17559.38,15,300/3
17559.38,16,300/3
17819.77,17,300/3
17819.77,18,300/3
18080.16,19,300/3
18080.16,20,300/3
18340.55,21,300/3
18340.55,22,300/3
18600.94,23,300/3
18600.94,24,300/3
18861.33,25,300/3
18861.33,26,300/3
19121.72,27,300/3
19121.72,28,300/3
19382.11,29,300/3
19382.11,30,300/3
19642.5,31,300/3
19642.5,32,300/3
19787.97,33,300/3
19787.97,34,300/3
19933.44,35,300/3
19933.44,36,300/3
20078.91,37,300/3
20078.91,38,300/3
20224.38,39,300/3
20224.38,40,300/3
20369.85,41,300/3
20369.85,42,300/3
20369.85,43,300/3
20369.85,44,300/3
20369.85,45,300/3
13750.0,0,301/1
13875.74,1,301/1
14001.48,2,301/1
14264.25,3,301/1
14264.25,4,301/1
14555.71,5,301/1
14555.71,6,301/1
14847.17,7,301/1
14847.17,8,301/1
15275.97,9,301/1
15275.97,10,301/1
15536.36,11,301/1
15536.36,12,301/1
15796.75,13,301/1
15796.75,14,301/1
16057.14,15,301/1
16057.14,16,301/1
16317.53,17,301/1
16317.53,18,301/1
16577.92,19,301/1
16577.92,20,301/1
16838.31,21,301/1
16838.31,22,301/1
17098.7,23,301/1
17098.7,24,301/1
17359.09,25,301/1
17359.09,26,301/1
17619.48,27,301/1
17619.48,28,301/1
17879.87,29,301/1
17879.87,30,301/1
18140.26,31,301/1
18140.26,32,301/1
18285.73,33,301/1
18285.73,34,301/1
18431.2,35,301/1
18431.2,36,301/1
18576.67,37,301/1
18576.67,38,301/1
18722.14,39,301/1
18722.14,40,301/1
18867.61,41,301/1
18867.61,42,301/1
18867.61,43,301/1
18867.61,44,301/1
18867.61,45,301/1
14175.63,0,301/2
14301.37,1,301/2
14427.11,2,301/2
14689.88,3,301/2
14689.88,4,301/2
14981.34,5,301/2
14981.34,6,301/2
15272.8,7,301/2
15272.8,8,301/2
15701.6,9,301/2
15701.6,10,301/2
15961.99,11,301/2
15961.99,12,301/2
16222.38,13,301/2
16222.38,14,301/2
16482.77,15,301/2
16482.77,16,301/2
16743.16,17,301/2
16743.16,18,301/2
17003.55,19,301/2
17003.55,20,301/2
17263.94,21,301/2
17263.94,22,301/2
17524.33,23,301/2
17524.33,24,301/2
17784.72,25,301/2
17784.72,26,301/2
18045.11,27,301/2
18045.11,28,301/2
18305.5,29,301/2
18305.5,30,301/2
18565.89,31,301/2
18565.89,32,301/2
18711.36,33,301/2
18711.36,34,301/2
18856.83,35,301/2
18856.83,36,301/2
19002.3,37,301/2
19002.3,38,301/2
19147.77,39,301/2
19147.77,40,301/2
19293.24,41,301/2
19293.24,42,301/2
19293.24,43,301/2
19293.24,44,301/2
19293.24,45,301/2
15252.24,0,301/3
15377.98,1,301/3
15503.72,2,301/3
15766.49,3,301/3
15766.49,4,301/3
16057.95,5,301/3
16057.95,6,301/3
16349.41,7,301/3
16349.41,8,301/3
16778.21,9,301/3
16778.21,10,301/3
17038.6,11,301/3
17038.6,12,301/3
17298.99,13,301/3
17298.99,14,301/3
17559.38,15,301/3
17559.38,16,301/3
17819.77,17,301/3
17819.77,18,301/3
18080.16,19,301/3
18080.16,20,301/3
18340.55,21,301/3
18340.55,22,301/3
18600.94,23,301/3
18600.94,24,301/3
18861.33,25,301/3
18861.33,26,301/3
19121.72,27,301/3
19121.72,28,301/3
19382.11,29,301/3
19382.11,30,301/3
19642.5,31,301/3
19642.5,32,301/3
